ID,Locality,PricePr,Tenement building,Venue of the sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type,Subtype
8801633,brugge,199000€,No,,2.0,,,No,,,,,,,,,,apartment,
10303727,torhout,245000€,No,,2.0,,,No,,Yes,,Yes,,,2.0,,Good,apartment,
9913173,blankenberge,275000€,No,,2.0,2007.0,,No,,,,,,,,,,apartment,
10195527,blankenberge,355000€,No,,2.0,,Hyper equipped,,,Yes,,,,,,,,apartment,
10163982,oostende,185000€,No,,1.0,34.0,,,,,,,,,,,Just renovated,apartment,
10142092,oostende,147500€,No,,2.0,,,,,,,,,,2.0,,Good,apartment,
10307847,blankenberge,349500€,No,,2.0,89.0,Installed,No,,,12.0,,,,2.0,,,apartment,
10081115,knokke-heist,1185000€,No,,3.0,112.0,Hyper equipped,,,Yes,,,,,2.0,,Just renovated,apartment,
10236410,oostkamp,295000€,No,,1.0,,Installed,No,,,7.0,,,,4.0,,As new,apartment,
10106467,oostende,160000€,No,,1.0,60.0,Installed,No,,Yes,,,,,,,Good,apartment,
10244640,knokke-heist,795000€,No,,2.0,84.0,Installed,No,,,8.0,,,,2.0,,,apartment,
9580959,oostende,195000€,No,,2.0,86.0,Installed,No,,,,,,,2.0,,Good,apartment,
10307835,blankenberge,267000€,No,,1.0,70.0,Installed,No,,,8.0,,,,2.0,,,apartment,
10150659,zeebrugge,259000€,No,,2.0,89.0,,No,,,19.0,,,,,,As new,apartment,
10240490,brugge,895000€,No,,3.0,195.0,Installed,No,,,75.0,,,,3.0,,As new,apartment,
9329397,middelkerke,395000€,No,,2.0,85.0,Not installed,Yes,,Yes,,,,,2.0,,Good,apartment,
10168724,ostende,285000€,No,,1.0,95.0,Hyper equipped,No,,,,,,,,,,apartment,
10093868,bredene,226000€,No,,1.0,53.0,Installed,No,,Yes,,Yes,,,2.0,,Good,apartment,
10310812,zeebrugge,375000€,No,,2.0,101.0,Installed,No,,,,,,,,,As new,apartment,
10040856,oostende,297000€,No,,2.0,96.0,,No,,,6.0,,,,,,As new,apartment,
10212846,knokke-heist,699000€,No,,2.0,90.0,,Yes,,,5.0,,,,,,As new,apartment,
10300132,zeebrugge,287000€,No,,3.0,95.0,USA installed,No,,,1.0,,,,,,,apartment,
10264566,knokke-heist,675000€,No,,2.0,,,Yes,,,,,,,2.0,,Just renovated,apartment,
10218786,oostende,950000€,No,,2.0,,,,,,,,,,2.0,,Good,apartment,
10308466,knokke,575000€,No,,3.0,89.0,Installed,No,,,,,,,2.0,,,apartment,
10261409,heist-aan-zee,523000€,No,,3.0,133.0,Installed,No,,,,,,,3.0,,As new,apartment,
10281587,oostende,159000€,No,,2.0,69.0,Installed,No,,,,,,,2.0,,To be done up,apartment,
9882333,blankenberge,383750€,No,,2.0,106.0,,,,Yes,,Yes,,,,,,apartment,
10308401,oostende,170000€,No,,2.0,,Installed,No,,,4.0,,,,2.0,,Good,apartment,
9970398,torhout,177000€,No,,2.0,86.0,,No,,,,,,,2.0,,Good,apartment,
